symbol,side,entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,qty,pnl_quote,pnl_pct,exit_reason,bars_held
AVAX/USDT,short,28971,28972,2026-02-23 00:45:00,2026-02-23 01:00:00,8.8252346,8.739968426796947,22.66228707393229,1.7730994254211407,0.08865497127105704,take_profit,1
AVAX/USDT,short,30135,30137,2026-03-07 03:45:00,2026-03-07 04:15:00,9.025194599999999,9.0027221844,22.160186994749125,0.3381921290924709,0.016909606454623544,stop,2
AVAX/USDT,long,30467,30468,2026-03-10 14:45:00,2026-03-10 15:00:00,9.4788954,9.682662218892382,21.09950490644722,4.137659243392946,0.2068829621696473,take_profit,1
AVAX/USDT,short,32484,32489,2026-03-31 15:00:00,2026-03-31 16:15:00,8.7672462,8.7388804266,22.812180180362677,0.487343967809662,0.0243671983904831,stop,5
AVAX/USDT,short,32495,32519,2026-03-31 17:45:00,2026-03-31 23:45:00,8.827234200000001,8.9087814,22.657153471695583,-2.0083664765572724,-0.10041832382786361,session_end,24
LINK/USDT,short,5293,5311,2025-06-21 09:15:00,2025-06-21 13:45:00,12.64747,12.511441346455513,15.81343936771544,1.9919412974437614,0.09959706487218807,take_profit,18
LINK/USDT,short,7619,7621,2025-07-15 14:45:00,2025-07-15 15:15:00,15.3849224,15.241626715799997,12.999740577177041,1.703551843117304,0.0851775921558652,stop,2
LINK/USDT,long,13916,13918,2025-09-19 05:00:00,2025-09-19 05:30:00,24.664932,24.369539930388363,8.108678345433914,-2.554281182561479,-0.12771405912807393,stop,2
LINK/USDT,long,14704,14724,2025-09-27 10:00:00,2025-09-27 15:00:00,21.0132018,20.859086280057042,9.51782607446334,-1.626257976306892,-0.0813128988153446,stop,20
LINK/USDT,short,20819,20822,2025-11-30 02:45:00,2025-11-30 03:30:00,13.0203954,12.976399760999998,15.360516624556578,0.5160660625652279,0.025803303128261394,stop,3
LINK/USDT,short,27779,27781,2026-02-10 14:45:00,2026-02-10 15:15:00,8.541291399999999,8.522189096999998,23.415662882078937,0.28747200455426164,0.014373600227713081,stop,2
LINK/USDT,short,27876,27878,2026-02-11 15:00:00,2026-02-11 15:30:00,8.2363524,8.1700656864,24.282593833648985,1.4502571882533895,0.07251285941266947,stop,2
LINK/USDT,long,28216,28218,2026-02-15 04:00:00,2026-02-15 04:30:00,9.066813,9.142655103200001,22.058467512233904,1.5122913852689182,0.07561456926344591,stop,2
LINK/USDT,short,30301,30304,2026-03-08 21:15:00,2026-03-08 22:00:00,8.574284800000001,8.442850938578337,23.32556063451496,2.906994811421071,0.14534974057105354,take_profit,3
LINK/USDT,long,30467,30469,2026-03-10 14:45:00,2026-03-10 15:15:00,9.026805,9.150629508,22.156233573229954,2.5823873274497506,0.12911936637248753,stop,2
NEAR/USDT,short,1710,1712,2025-05-15 01:30:00,2025-05-15 02:00:00,3.0583882000000004,3.0156210035999993,9.809088329597921,0.3956750099797122,0.039567500997971225,stop,2
